"survyear","state","total_enrollment","sum_american","sum_asian","sum_hisp","sum_black","sum_white"
2004,"IDAHO","265844","4162","3954","31784","2478","213706"
2004,"IDAHO","266613","4162","3954","31784","2478","213706"
2004,"IDAHO","267556","4162","3954","31784","2478","213706"
2004,"IDAHO","267951","4162","3954","31784","2478","213706"
2004,"IDAHO","272070","4162","3954","31784","2478","213706"
2004,"IDAHO","274131","4162","3954","31784","2478","213706"
2004,"IDAHO","274849","4162","3954","31784","2478","213706"
2004,"IDAHO","281452","4162","3954","31784","2478","213706"
2004,"IDAHO",NULL,"8324","7908","63568","4956","427412"
2004,"ILLINOIS","1856841","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","1875956","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","1897161","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","1924970","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","1952892","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","1972406","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","1987427","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2003839","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2025249","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2030717","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2047123","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2047836","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2060632","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2062664","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2069823","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2071481","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2072114","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2072437","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2079027","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2097585","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2098401","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2099118","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2101075","3831","77044","383546","431049","1186235"
2004,"ILLINOIS","2117291","3831","77044","383546","431049","1186235"
2004,"ILLINOIS",NULL,"7662","154088","767092","862098","2372470"
2004,"INDIANA","958052","2733","11501","52967","126456","827691"
2004,"INDIANA","963071","2733","11501","52967","126456","827691"
2004,"INDIANA","966622","2733","11501","52967","126456","827691"
2004,"INDIANA","975455","2733","11501","52967","126456","827691"
2004,"INDIANA","981546","2733","11501","52967","126456","827691"
2004,"INDIANA","985690","2733","11501","52967","126456","827691"
2004,"INDIANA","986891","2733","11501","52967","126456","827691"
2004,"INDIANA","987214","2733","11501","52967","126456","827691"
2004,"INDIANA","987854","2733","11501","52967","126456","827691"
2004,"INDIANA","994348","2733","11501","52967","126456","827691"
2004,"INDIANA","999713","2733","11501","52967","126456","827691"
2004,"INDIANA","1002696","2733","11501","52967","126456","827691"
2004,"INDIANA","1002772","2733","11501","52967","126456","827691"
2004,"INDIANA","1004215","2733","11501","52967","126456","827691"
2004,"INDIANA","1005587","2733","11501","52967","126456","827691"
2004,"INDIANA","1006627","2733","11501","52967","126456","827691"
2004,"INDIANA","1007121","2733","11501","52967","126456","827691"
2004,"INDIANA","1014528","2733","11501","52967","126456","827691"
2004,"INDIANA","1023220","2733","11501","52967","126456","827691"
2004,"INDIANA","1026053","2733","11501","52967","126456","827691"
2004,"INDIANA","1026106","2733","11501","52967","126456","827691"
2004,"INDIANA","1028259","2733","11501","52967","126456","827691"
2004,"INDIANA","1033329","2733","11501","52967","126456","827691"
2004,"INDIANA","1034588","2733","11501","52967","126456","827691"
2004,"INDIANA",NULL,"5466","23002","105934","252912","1655382"
2004,"IOWA","478319","2835","8955","25721","22986","417822"
2004,"IOWA","481226","2835","8955","25721","22986","417822"
2004,"IOWA","482210","2835","8955","25721","22986","417822"
2004,"IOWA","483122","2835","8955","25721","22986","417822"
2004,"IOWA","483482","2835","8955","25721","22986","417822"
2004,"IOWA","485114","2835","8955","25721","22986","417822"
2004,"IOWA","485932","2835","8955","25721","22986","417822"
2004,"IOWA","487559","2835","8955","25721","22986","417822"
2004,"IOWA","491255","2835","8955","25721","22986","417822"
2004,"IOWA","493493","2835","8955","25721","22986","417822"
2004,"IOWA","493957","2835","8955","25721","22986","417822"
2004,"IOWA","495080","2835","8955","25721","22986","417822"
2004,"IOWA","495870","2835","8955","25721","22986","417822"
2004,"IOWA","497301","2835","8955","25721","22986","417822"
2004,"IOWA","497925","2835","8955","25721","22986","417822"
2004,"IOWA","498214","2835","8955","25721","22986","417822"
2004,"IOWA","498837","2835","8955","25721","22986","417822"
2004,"IOWA","499489","2835","8955","25721","22986","417822"
2004,"IOWA","501054","2835","8955","25721","22986","417822"
2004,"IOWA","501763","2835","8955","25721","22986","417822"
2004,"IOWA","502343","2835","8955","25721","22986","417822"
2004,"IOWA","502941","2835","8955","25721","22986","417822"
2004,"IOWA","505311","2835","8955","25721","22986","417822"
2004,"IOWA","508014","2835","8955","25721","22986","417822"
2004,"IOWA",NULL,"5670","17910","51442","45972","835644"
2004,"KANSAS","451469","6644","10679","53374","39877","347868"
2004,"KANSAS","457744","6644","10679","53374","39877","347868"
2004,"KANSAS","460905","6644","10679","53374","39877","347868"
2004,"KANSAS","463008","6644","10679","53374","39877","347868"
2004,"KANSAS","466368","6644","10679","53374","39877","347868"
2004,"KANSAS","467279","6644","10679","53374","39877","347868"
2004,"KANSAS","467743","6644","10679","53374","39877","347868"
2004,"KANSAS","468347","6644","10679","53374","39877","347868"
2004,"KANSAS","468481","6644","10679","53374","39877","347868"
2004,"KANSAS","468974","6644","10679","53374","39877","347868"
2004,"KANSAS","468980","6644","10679","53374","39877","347868"
2004,"KANSAS","469377","6644","10679","53374","39877","347868"
2004,"KANSAS","469758","6644","10679","53374","39877","347868"
2004,"KANSAS","469824","6644","10679","53374","39877","347868"
2004,"KANSAS","470204","6644","10679","53374","39877","347868"
2004,"KANSAS","470264","6644","10679","53374","39877","347868"
2004,"KANSAS","470445","6644","10679","53374","39877","347868"
2004,"KANSAS","471406","6644","10679","53374","39877","347868"
2004,"KANSAS","482692","6644","10679","53374","39877","347868"
2004,"KANSAS","485591","6644","10679","53374","39877","347868"
2004,"KANSAS","488590","6644","10679","53374","39877","347868"
2004,"KANSAS","495545","6644","10679","53374","39877","347868"
2004,"KANSAS","496034","6644","10679","53374","39877","347868"
2004,"KANSAS","496920","6644","10679","53374","39877","347868"
2004,"KANSAS",NULL,"13288","21358","106748","79754","695736"
2004,"KENTUCKY","489281","1182","5498","11602","66747","551851"
2004,"KENTUCKY","490069","1182","5498","11602","66747","551851"
2004,"KENTUCKY","631592","1182","5498","11602","66747","551851"
2004,"KENTUCKY","639531","1182","5498","11602","66747","551851"
2004,"KENTUCKY","639992","1182","5498","11602","66747","551851"
2004,"KENTUCKY","643730","1182","5498","11602","66747","551851"
2004,"KENTUCKY","645232","1182","5498","11602","66747","551851"
2004,"KENTUCKY","646360","1182","5498","11602","66747","551851"
2004,"KENTUCKY","646467","1182","5498","11602","66747","551851"
2004,"KENTUCKY","653628","1182","5498","11602","66747","551851"
2004,"KENTUCKY","654363","1182","5498","11602","66747","551851"
2004,"KENTUCKY","660782","1182","5498","11602","66747","551851"
2004,"KENTUCKY","663886","1182","5498","11602","66747","551851"
2004,"KENTUCKY","666019","1182","5498","11602","66747","551851"
2004,"KENTUCKY","669858","1182","5498","11602","66747","551851"
2004,"KENTUCKY","672958","1182","5498","11602","66747","551851"
2004,"KENTUCKY","674502","1182","5498","11602","66747","551851"
2004,"KENTUCKY","679621","1182","5498","11602","66747","551851"
2004,"KENTUCKY","679901","1182","5498","11602","66747","551851"
2004,"KENTUCKY","681827","1182","5498","11602","66747","551851"
2004,"KENTUCKY","685009","1182","5498","11602","66747","551851"
2004,"KENTUCKY","686440","1182","5498","11602","66747","551851"
2004,"KENTUCKY","686789","1182","5498","11602","66747","551851"
